 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Ljubno";16;11;12;14;4;-3
 ;"Ljutomer";58;56;47;74;11;-18
 ;"Log - Dragomer";27;20;11;4;16;16
 ;"Logatec";99;93;49;74;50;19
 ;"Loška dolina";28;18;10;14;18;4
 ;"Loški Potok";7;6;22;14;-15;-8
 ;"Lovrenc na Pohorju";20;19;22;16;-2;3
 ;"Luèe";6;7;9;7;-3;0
 ;"Lukovica";42;27;12;12;30;15
 ;"Majšperk";18;19;20;21;-2;-2
 ;"Makole";13;6;10;6;3;0
 ;"Maribor";503;462;562;615;-59;-153
 ;"Markovci";18;29;24;19;-6;10
 ;"Medvode";96;101;48;86;48;15
 ;"Mengeš";43;49;33;45;10;4
 ;"Metlika";47;34;50;70;-3;-36
 ;"Mežica";17;13;19;16;-2;-3
 ;"Miklavž na Dravskem polju";27;19;33;24;-6;-5
 ;"Miren - Kostanjevica";22;21;23;14;-1;7
 ;"Mirna";-;-;-;-;-;-
 ;"Mirna Peè";29;16;12;8;17;8
 ;"Mislinja";24;27;22;14;2;13
 ;"Mokronog - Trebelno";24;26;19;14;5;12
 ;"Moravèe";37;34;7;15;30;19
 ;"Moravske Toplice";20;20;35;38;-15;-18
 ;"Mozirje";18;17;23;17;-5;0
 ;"Murska Sobota";84;80;87;108;-3;-28
 ;"Muta";16;16;15;4;1;12
 ;"Naklo";32;32;22;20;10;12
 ;"Nazarje";19;10;15;12;4;-2
 ;"Nova Gorica";178;168;142;159;36;9
 ;"Novo mesto";226;237;144;143;82;94
 ;"Odranci";10;16;9;10;1;6
 ;"Oplotnica";20;29;13;16;7;13
 ;"Ormož";69;54;62;72;7;-18
 ;"Osilnica";0;1;2;1;-2;0
 ;"Pesnica";31;46;44;47;-13;-1
 ;"Piran/Pirano";66;81;103;72;-37;9
 ;"Pivka";35;31;16;24;19;7
 ;"Podèetrtek";28;20;23;20;5;0
 ;"Podlehnik";11;12;8;8;3;4
 ;"Podvelka";11;10;10;12;1;-2
 ;"Poljèane";24;28;45;41;-21;-13
 ;"Polzela";20;23;35;61;-15;-38
 ;"Postojna";107;91;82;93;25;-2
 ;"Prebold";25;34;20;16;5;18
 ;"Preddvor";17;25;26;27;-9;-2
 ;"Prevalje";32;27;48;44;-16;-17
 ;"Ptuj";116;97;110;115;6;-18
 ;"Puconci";28;17;22;38;6;-21
 ;"Raèe - Fram";36;31;22;24;14;7
 ;"Radeèe";21;21;15;11;6;10
 ;"Radenci";25;24;28;35;-3;-11
 ;"Radlje ob Dravi";40;36;33;36;7;0
 ;"Radovljica";102;101;82;93;20;8
 ;"Ravne na Koroškem";58;57;49;38;9;19
 ;"Razkrižje";14;4;5;6;9;-2
 ;"Reèica ob Savinji";16;15;11;4;5;11
 ;"Renèe - Vogrsko";28;27;16;18;12;9
 ;"Ribnica";54;47;45;50;9;-3
 ;"Ribnica na Pohorju";4;6;7;6;-3;0
 ;"Rogaška Slatina";61;58;46;55;15;3
 ;"Rogašovci";16;14;22;20;-6;-6
 ;"Rogatec";23;17;15;14;8;3
 ;"Ruše";31;38;32;37;-1;1
 ;"Selnica ob Dravi";19;16;17;22;2;-6
 ;"Semiè";31;15;14;17;17;-2
 ;"Sevnica";80;90;113;107;-33;-17
 ;"Sežana";71;58;82;75;-11;-17
 ;"Slovenj Gradec";87;77;57;56;30;21
 ;"Slovenska Bistrica";153;131;105;79;48;52
 ;"Slovenske Konjice";85;91;60;67;25;24
 ;"Sodražica";11;15;8;11;3;4
 ;"Solèava";3;1;1;0;2;1
 ;"Središèe ob Dravi";15;14;13;7;2;7
 ;"Starše";25;17;12;18;13;-1
 ;"Straža";20;30;18;9;2;21
 ;"Sveta Ana";12;12;11;12;1;0
 ;"Sveta Trojica v Slov. goricah";4;11;12;9;-8;2
 ;"Sveti Andraž v Slov. goricah";8;10;8;4;0;6
 ;"Sveti Jurij ob Šèavnici";18;18;23;12;-5;6
 ;"Sveti Jurij v Slov. goricah";7;7;7;11;0;-4
 ;"Sveti Tomaž";12;10;7;12;5;-2
 ;"Šalovci";5;7;11;15;-6;-8
 ;"Šempeter - Vrtojba";30;27;29;23;1;4
 ;"Šenèur";52;59;31;19;21;40
 ;"Šentilj";38;34;36;37;2;-3
 ;"Šentjernej";27;50;22;16;5;34
 ;"Šentjur";114;104;83;66;31;38
 ;"Šentrupert";10;13;14;10;-4;3
 ;"Škocjan";23;16;15;14;8;2
 ;"Škofja Loka";133;136;92;76;41;60
 ;"Škofljica";41;69;27;17;14;52
 ;"Šmarje pri Jelšah";77;59;63;74;14;-15
 ;"Šmarješke Toplice";16;19;16;29;0;-10
 ;"Šmartno ob Paki";16;15;12;18;4;-3
 ;"Šmartno pri Litiji";38;31;26;29;12;2
 ;"Šoštanj";45;45;51;37;-6;8
 ;"Štore";18;19;25;36;-7;-17
 ;"Tabor";10;9;3;5;7;4
 ;"Tišina";15;20;21;13;-6;7
 ;"Tolmin";64;46;71;92;-7;-46
 ;"Trbovlje";80;65;94;107;-14;-42
 ;"Trebnje";95;74;63;63;32;11
 ;"Trnovska vas";8;10;9;3;-1;7
 ;"Trzin";25;21;11;14;14;7
 ;"Tržiè";80;85;83;73;-3;12
 ;"Turnišèe";16;10;15;12;1;-2
 ;"Velenje";176;168;134;102;42;66
 ;"Velika Polana";4;7;16;16;-12;-9
 ;"Velike Lašèe";24;23;17;17;7;6
 ;"Veržej";4;5;2;5;2;0
 ;"Videm";35;23;25;27;10;-4
 ;"Vipava";38;38;22;15;16;23
 ;"Vitanje";12;13;8;8;4;5
 ;"Vodice";23;26;13;17;10;9
 ;"Vojnik";46;36;46;52;0;-16
 ;"Vransko";18;15;12;10;6;5
 ;"Vrhnika";96;98;61;79;35;19
 ;"Vuzenica";9;9;11;11;-2;-2
 ;"Zagorje ob Savi";104;87;82;89;22;-2
 ;"Zavrè";11;8;9;10;2;-2
 ;"Zreèe";32;39;23;21;9;18
 ;"Žalec";121;113;79;79;42;34
 ;"Železniki";49;32;21;22;28;10
 ;"Žetale";8;9;11;7;-3;2
 ;"Žiri";29;31;21;16;8;15
 ;"Žirovnica";34;29;15;10;19;19
 ;"Žužemberk";23;26;22;16;1;10
2011
 ;"Ajdovšèina";131;109;77;72;54;37
 ;"Apaèe";16;24;10;19;6;5
 ;"Beltinci";43;34;36;47;7;-13
 ;"Benedikt";15;14;15;5;0;9
 ;"Bistrica ob Sotli";8;8;7;6;1;2
 ;"Bled";52;49;36;21;16;28
 ;"Bloke";6;12;7;10;-1;2
 ;"Bohinj";26;17;19;33;7;-16
 ;"Borovnica";22;36;10;7;12;29
 ;"Bovec";11;19;16;17;-5;2
 ;"Braslovèe";32;32;19;19;13;13
 ;"Brda";30;26;24;32;6;-6
 ;"Brezovica";75;72;45;35;30;37
 ;"Brežice";111;108;117;147;-6;-39
 ;"Cankova";11;9;11;8;0;1
 ;"Celje";247;256;183;197;64;59
 ;"Cerklje na Gorenjskem";42;46;16;26;26;20
 ;"Cerknica";60;73;47;55;13;18
 ;"Cerkno";23;23;20;19;3;4
 ;"Cerkvenjak";8;15;11;10;-3;5
 ;"Cirkulane";4;14;13;12;-9;2
 ;"Èrenšovci";18;20;25;20;-7;0
 ;"Èrna na Koroškem";7;6;23;14;-16;-8
 ;"Èrnomelj";75;73;80;75;-5;-2
 ;"Destrnik";10;16;21;7;-11;9
 ;"Divaèa";11;9;20;13;-9;-4
 ;"Dobje";6;6;3;6;3;0
 ;"Dobrepolje";31;23;20;34;11;-11
 ;"Dobrna";14;6;10;11;4;-5
 ;"Dobrova - Polhov Gradec";58;41;22;21;36;20
 ;"Dobrovnik/Dobronak";5;6;6;8;-1;-2
 ;"Dol pri Ljubljani";47;43;14;22;33;21
 ;"Dolenjske Toplice";21;21;10;9;11;12
 ;"Domžale";225;174;105;124;120;50
 ;"Dornava";11;17;11;16;0;1
 ;"Dravograd";61;48;60;51;1;-3
 ;"Duplek";30;35;31;22;-1;13
 ;"Gorenja vas - Poljane";48;58;30;19;18;39
 ;"Gorišnica";24;15;26;27;-2;-12
 ;"Gorje";16;15;7;15;9;0
 ;"Gornja Radgona";39;33;47;53;-8;-20
 ;"Gornji Grad";15;13;18;52;-3;-39
 ;"Gornji Petrovci";11;6;12;18;-1;-12
 ;"Grad";8;6;14;16;-6;-10
 ;"Grosuplje";140;138;72;75;68;63
 ;"Hajdina";18;17;13;11;5;6
 ;"Hoèe - Slivnica";47;44;58;27;-11;17
 ;"Hodoš/Hodos";0;0;3;1;-3;-1
 ;"Horjul";19;18;14;20;5;-2
 ;"Hrastnik";46;39;59;64;-13;-25
 ;"Hrpelje - Kozina";23;26;20;15;3;11
 ;"Idrija";77;80;67;74;10;6
 ;"Ig";36;36;23;18;13;18
 ;"Ilirska Bistrica";62;74;67;90;-5;-16
 ;"Ivanèna Gorica";126;96;64;48;62;48
 ;"Izola/Isola";71;71;77;73;-6;-2
 ;"Jesenice";113;95;114;91;-1;4
 ;"Jezersko";4;2;8;5;-4;-3
 ;"Juršinci";11;10;12;8;-1;2
 ;"Kamnik";190;215;111;106;79;109
 ;"Kanal";34;19;22;33;12;-14
 ;"Kidrièevo";25;37;31;37;-6;0
 ;"Kobarid";23;24;22;21;1;3
 ;"Kobilje";4;1;1;4;3;-3
 ;"Koèevje";95;100;87;68;8;32
 ;"Komen";15;18;17;12;-2;6
 ;"Komenda";58;48;12;12;46;36
 ;"Koper/Capodistria";284;257;242;209;42;48
 ;"Kostanjevica na Krki";20;11;5;8;15;3
 ;"Kostel";1;0;4;7;-3;-7
 ;"Kozje";14;12;17;20;-3;-8
 ;"Kranj";340;322;213;187;127;135
 ;"Kranjska Gora";26;15;28;13;-2;2
 ;"Križevci";17;19;20;19;-3;0
 ;"Krško";142;165;124;133;18;32
 ;"Kungota";18;23;21;15;-3;8
 ;"Kuzma";11;9;7;14;4;-5
 ;"Laško";76;65;85;75;-9;-10
 ;"Lenart";42;42;52;61;-10;-19
 ;"Lendava/Lendva";36;40;70;73;-34;-33
 ;"Litija";116;84;63;37;53;47
 ;"Ljubljana";1531;1440;1079;1100;452;340
 ;"Ljubno";8;17;11;12;-3;5
 ;"Ljutomer";70;46;66;71;4;-25
 ;"Log - Dragomer";20;20;4;9;16;11
 ;"Logatec";87;81;56;66;31;15
 ;"Loška dolina";24;20;12;4;12;16
 ;"Loški Potok";6;13;11;27;-5;-14
 ;"Lovrenc na Pohorju";19;8;12;17;7;-9
 ;"Luèe";7;4;7;4;0;0
 ;"Lukovica";37;41;27;15;10;26
 ;"Majšperk";29;19;23;18;6;1
 ;"Makole";11;9;16;9;-5;0
 ;"Maribor";497;473;565;625;-68;-152
 ;"Markovci";24;20;14;13;10;7
 ;"Medvode";72;97;60;66;12;31
 ;"Mengeš";46;39;28;53;18;-14
 ;"Metlika";33;30;48;46;-15;-16
 ;"Mežica";15;10;32;19;-17;-9
 ;"Miklavž na Dravskem polju";24;31;32;13;-8;18
 ;"Miren - Kostanjevica";25;30;21;16;4;14
 ;"Mirna";-;-;-;-;-;-
 ;"Mirna Peè";15;16;8;10;7;6
 ;"Mislinja";24;22;21;20;3;2
 ;"Mokronog - Trebelno";17;18;20;14;-3;4
 ;"Moravèe";28;29;12;17;16;12
 ;"Moravske Toplice";28;23;32;31;-4;-8
 ;"Mozirje";15;21;15;15;0;6
 ;"Murska Sobota";68;95;97;128;-29;-33
 ;"Muta";11;22;14;9;-3;13
 ;"Naklo";29;35;18;17;11;18
 ;"Nazarje";7;16;11;11;-4;5
 ;"Nova Gorica";193;163;153;166;40;-3
 ;"Novo mesto";252;180;155;137;97;43
 ;"Odranci";8;6;10;9;-2;-3
 ;"Oplotnica";14;26;15;15;-1;11
 ;"Ormož";64;53;72;79;-8;-26
 ;"Osilnica";4;2;2;2;2;0
 ;"Pesnica";27;36;50;52;-23;-16
 ;"Piran/Pirano";95;78;91;75;4;3
 ;"Pivka";31;33;14;18;17;15
 ;"Podèetrtek";13;20;16;11;-3;9
 ;"Podlehnik";3;7;17;13;-14;-6
 ;"Podvelka";14;11;17;17;-3;-6
 ;"Poljèane";27;20;39;62;-12;-42
 ;"Polzela";28;31;29;54;-1;-23
 ;"Postojna";109;103;66;75;43;28
 ;"Prebold";45;29;31;27;14;2
 ;"Preddvor";22;21;21;37;1;-16
 ;"Prevalje";30;27;52;68;-22;-41
 ;"Ptuj";115;106;131;139;-16;-33
 ;"Puconci";37;29;47;40;-10;-11
 ;"Raèe - Fram";42;36;31;19;11;17
 ;"Radeèe";15;22;24;17;-9;5
 ;"Radenci";20;18;40;38;-20;-20
 ;"Radlje ob Dravi";39;31;40;35;-1;-4
 ;"Radovljica";98;113;83;111;15;2
 ;"Ravne na Koroškem";42;54;41;38;1;16
 ;"Razkrižje";6;7;4;11;2;-4
 ;"Reèica ob Savinji";12;11;10;10;2;1
 ;"Renèe - Vogrsko";20;22;17;18;3;4
 ;"Ribnica";61;59;52;67;9;-8
 ;"Ribnica na Pohorju";6;9;11;9;-5;0
 ;"Rogaška Slatina";56;51;52;42;4;9
 ;"Rogašovci";22;11;20;24;2;-13
 ;"Rogatec";15;17;8;9;7;8
 ;"Ruše";42;30;34;32;8;-2
 ;"Selnica ob Dravi";31;15;18;13;13;2
 ;"Semiè";23;23;10;14;13;9
 ;"Sevnica";86;79;90;132;-4;-53
 ;"Sežana";70;68;58;63;12;5
 ;"Slovenj Gradec";102;96;64;64;38;32
 ;"Slovenska Bistrica";143;133;104;92;39;41
 ;"Slovenske Konjice";79;89;52;65;27;24
 ;"Sodražica";9;19;9;6;0;13
 ;"Solèava";1;4;2;3;-1;1
 ;"Središèe ob Dravi";7;12;12;10;-5;2
 ;"Starše";21;18;20;16;1;2
 ;"Straža";19;16;13;5;6;11
 ;"Sveta Ana";14;13;11;16;3;-3
 ;"Sveta Trojica v Slov. goricah";6;8;11;7;-5;1
 ;"Sveti Andraž v Slov. goricah";6;5;5;4;1;1
 ;"Sveti Jurij ob Šèavnici";14;16;18;9;-4;7
 ;"Sveti Jurij v Slov. goricah";10;3;6;9;4;-6
 ;"Sveti Tomaž";7;11;11;8;-4;3
 ;"Šalovci";5;3;11;18;-6;-15
 ;"Šempeter - Vrtojba";35;35;20;24;15;11
 ;"Šenèur";43;38;21;24;22;14
 ;"Šentilj";31;40;50;27;-19;13
 ;"Šentjernej";50;49;29;22;21;27
 ;"Šentjur";122;80;82;96;40;-16
 ;"Šentrupert";16;15;17;7;-1;8
 ;"Škocjan";17;22;18;13;-1;9
 ;"Škofja Loka";152;149;98;84;54;65
 ;"Škofljica";64;66;28;25;36;41
 ;"Šmarje pri Jelšah";56;64;42;64;14;0
 ;"Šmarješke Toplice";24;14;14;18;10;-4
 ;"Šmartno ob Paki";19;15;15;13;4;2
 ;"Šmartno pri Litiji";40;22;36;48;4;-26
 ;"Šoštanj";50;48;44;53;6;-5
 ;"Štore";19;21;29;36;-10;-15
 ;"Tabor";9;10;5;6;4;4
 ;"Tišina";23;16;24;18;-1;-2
 ;"Tolmin";59;51;68;86;-9;-35
 ;"Trbovlje";88;68;105;109;-17;-41
 ;"Trebnje";87;89;56;80;31;9
 ;"Trnovska vas";3;9;5;7;-2;2
 ;"Trzin";18;20;10;20;8;0
 ;"Tržiè";76;71;64;67;12;4
 ;"Turnišèe";18;12;17;16;1;-4
 ;"Velenje";181;180;115;104;66;76
 ;"Velika Polana";7;4;19;21;-12;-17
 ;"Velike Lašèe";40;19;16;17;24;2
 ;"Veržej";3;6;8;2;-5;4
 ;"Videm";33;30;31;29;2;1
 ;"Vipava";36;27;24;27;12;0
 ;"Vitanje";14;16;5;5;9;11
 ;"Vodice";30;31;8;12;22;19
 ;"Vojnik";42;38;46;76;-4;-38
 ;"Vransko";12;20;12;24;0;-4
 ;"Vrhnika";102;93;63;64;39;29
 ;"Vuzenica";9;17;10;9;-1;8
 ;"Zagorje ob Savi";87;97;76;89;11;8
 ;"Zavrè";4;11;8;3;-4;8
 ;"Zreèe";36;29;21;18;15;11
 ;"Žalec";115;129;102;78;13;51
 ;"Železniki";36;31;26;18;10;13
 ;"Žetale";7;6;6;6;1;0
 ;"Žiri";31;29;30;22;1;7
 ;"Žirovnica";26;26;21;11;5;15
 ;"Žužemberk";27;30;20;27;7;3
2012
 ;"Ajdovšèina";142;129;80;74;62;55
 ;"Apaèe";26;14;19;13;7;1
 ;"Beltinci";35;29;39;45;-4;-16
 ;"Benedikt";13;7;7;5;6;2
 ;"Bistrica ob Sotli";4;5;4;11;0;-6
 ;"Bled";51;35;41;35;10;0
 ;"Bloke";12;9;6;13;6;-4
 ;"Bohinj";29;29;34;30;-5;-1
 ;"Borovnica";26;22;12;9;14;13
 ;"Bovec";17;10;15;16;2;-6
 ;"Braslovèe";31;23;14;18;17;5
 ;"Brda";34;25;43;36;-9;-11
 ;"Brezovica";74;71;57;58;17;13
 ;"Brežice";117;112;129;129;-12;-17
 ;"Cankova";6;12;13;11;-7;1
 ;"Celje";270;256;210;235;60;21
 ;"Cerklje na Gorenjskem";52;43;31;26;21;17
 ;"Cerknica";62;61;59;62;3;-1
 ;"Cerkno";26;25;17;20;9;5
 ;"Cerkvenjak";15;9;15;11;0;-2
 ;"Cirkulane";13;13;13;16;0;-3
 ;"Èrenšovci";18;17;28;21;-10;-4
 ;"Èrna na Koroškem";17;13;21;19;-4;-6
 ;"Èrnomelj";78;69;70;78;8;-9
 ;"Destrnik";16;10;14;12;2;-2
 ;"Divaèa";20;12;16;18;4;-6
 ;"Dobje";9;6;6;7;3;-1
 ;"Dobrepolje";21;15;32;27;-11;-12
 ;"Dobrna";8;20;10;5;-2;15
 ;"Dobrova - Polhov Gradec";36;50;22;22;14;28
 ;"Dobrovnik/Dobronak";6;8;4;6;2;2
 ;"Dol pri Ljubljani";41;47;15;11;26;36
 ;"Dolenjske Toplice";21;14;9;10;12;4
 ;"Domžale";199;202;118;114;81;88
 ;"Dornava";12;11;16;17;-4;-6
 ;"Dravograd";42;48;50;56;-8;-8
 ;"Duplek";45;31;30;24;15;7
 ;"Gorenja vas - Poljane";65;51;22;23;43;28
 ;"Gorišnica";21;12;25;34;-4;-22
 ;"Gorje";19;10;12;12;7;-2
 ;"Gornja Radgona";41;32;34;57;7;-25
 ;"Gornji Grad";14;19;30;42;-16;-23
 ;"Gornji Petrovci";12;10;6;15;6;-5
 ;"Grad";10;14;9;11;1;3
 ;"Grosuplje";107;119;62;87;45;32
 ;"Hajdina";22;20;6;13;16;7
 ;"Hoèe - Slivnica";57;47;34;39;23;8
 ;"Hodoš/Hodos";1;1;1;3;0;-2
 ;"Horjul";23;23;11;23;12;0
 ;"Hrastnik";47;31;42;60;5;-29
 ;"Hrpelje - Kozina";19;20;15;23;4;-3
 ;"Idrija";59;54;70;90;-11;-36
 ;"Ig";50;42;23;14;27;28
 ;"Ilirska Bistrica";65;55;77;90;-12;-35
 ;"Ivanèna Gorica";107;86;66;59;41;27
 ;"Izola/Isola";77;93;99;98;-22;-5
 ;"Jesenice";114;102;99;98;15;4
 ;"Jezersko";3;2;2;4;1;-2
 ;"Juršinci";9;15;7;18;2;-3
 ;"Kamnik";180;199;132;116;48;83
 ;"Kanal";28;23;43;26;-15;-3
 ;"Kidrièevo";35;32;30;23;5;9
 ;"Kobarid";28;20;17;27;11;-7
 ;"Kobilje";2;1;2;4;0;-3
 ;"Koèevje";102;82;106;80;-4;2
 ;"Komen";24;25;14;13;10;12
 ;"Komenda";39;47;18;21;21;26
 ;"Koper/Capodistria";285;279;196;209;89;70
 ;"Kostanjevica na Krki";15;17;13;14;2;3
 ;"Kostel";4;1;4;6;0;-5
 ;"Kozje";17;14;18;23;-1;-9
 ;"Kranj";338;290;218;204;120;86
 ;"Kranjska Gora";22;11;32;20;-10;-9
 ;"Križevci";24;14;24;22;0;-8
 ;"Krško";151;149;139;133;12;16
 ;"Kungota";30;16;14;20;16;-4
 ;"Kuzma";13;7;16;16;-3;-9
 ;"Laško";66;74;83;95;-17;-21
 ;"Lenart";52;49;58;58;-6;-9
 ;"Lendava/Lendva";44;43;51;83;-7;-40
 ;"Litija";81;75;55;35;26;40
 ;"Ljubljana";1597;1487;1071;1201;526;286
 ;"Ljubno";18;14;12;13;6;1
 ;"Ljutomer";60;35;65;66;-5;-31
 ;"Log - Dragomer";17;20;13;8;4;12
 ;"Logatec";105;96;50;62;55;34
 ;"Loška dolina";22;21;22;17;0;4
 ;"Loški Potok";11;10;13;21;-2;-11
 ;"Lovrenc na Pohorju";14;8;12;11;2;-3
 ;"Luèe";8;7;11;8;-3;-1
 ;"Lukovica";37;39;13;13;24;26
 ;"Majšperk";24;21;22;19;2;2
 ;"Makole";9;16;10;6;-1;10
 ;"Maribor";467;450;573;663;-106;-213
 ;"Markovci";29;16;15;9;14;7
 ;"Medvode";110;88;65;82;45;6
 ;"Mengeš";41;44;30;64;11;-20
 ;"Metlika";44;43;61;50;-17;-7
 ;"Mežica";11;16;23;13;-12;3
 ;"Miklavž na Dravskem polju";28;29;29;18;-1;11
 ;"Miren - Kostanjevica";14;32;19;22;-5;10
 ;"Mirna";8;11;7;11;1;0
 ;"Mirna Peè";18;20;7;9;11;11
 ;"Mislinja";19;37;13;21;6;16
 ;"Mokronog - Trebelno";11;21;22;11;-11;10
 ;"Moravèe";30;29;21;21;9;8
 ;"Moravske Toplice";22;31;37;31;-15;0
 ;"Mozirje";39;20;19;15;20;5
 ;"Murska Sobota";70;78;88;132;-18;-54
 ;"Muta";16;12;16;12;0;0
 ;"Naklo";39;22;25;14;14;8
 ;"Nazarje";14;15;9;14;5;1
 ;"Nova Gorica";161;182;185;156;-24;26
 ;"Novo mesto";220;226;161;161;59;65
 ;"Odranci";14;7;12;9;2;-2
 ;"Oplotnica";21;20;12;11;9;9
 ;"Ormož";62;46;61;74;1;-28
 ;"Osilnica";2;3;4;2;-2;1
 ;"Pesnica";31;48;41;48;-10;0
 ;"Piran/Pirano";79;85;76;93;3;-8
 ;"Pivka";35;39;37;17;-2;22
 ;"Podèetrtek";16;14;17;13;-1;1
 ;"Podlehnik";5;7;5;7;0;0
 ;"Podvelka";9;10;18;11;-9;-1
 ;"Poljèane";27;20;37;53;-10;-33
 ;"Polzela";35;27;44;42;-9;-15
 ;"Postojna";102;87;65;92;37;-5
 ;"Prebold";27;27;42;36;-15;-9
 ;"Preddvor";22;19;26;33;-4;-14
 ;"Prevalje";35;36;35;52;0;-16
 ;"Ptuj";139;97;139;134;0;-37
 ;"Puconci";26;34;42;38;-16;-4
 ;"Raèe - Fram";42;36;29;20;13;16
 ;"Radeèe";22;21;22;15;0;6
 ;"Radenci";24;28;22;37;2;-9
 ;"Radlje ob Dravi";34;26;36;28;-2;-2
 ;"Radovljica";111;89;87;97;24;-8
 ;"Ravne na Koroškem";54;53;46;32;8;21
 ;"Razkrižje";3;6;5;6;-2;0
 ;"Reèica ob Savinji";15;9;10;7;5;2
 ;"Renèe - Vogrsko";21;22;27;27;-6;-5
 ;"Ribnica";56;47;44;60;12;-13
 ;"Ribnica na Pohorju";4;3;3;5;1;-2
 ;"Rogaška Slatina";50;60;62;37;-12;23
 ;"Rogašovci";14;15;18;26;-4;-11
 ;"Rogatec";19;10;15;13;4;-3
 ;"Ruše";21;31;31;31;-10;0
 ;"Selnica ob Dravi";20;22;19;11;1;11
 ;"Semiè";13;27;17;10;-4;17
 ;"Sevnica";76;85;115;140;-39;-55
 ;"Sežana";61;69;62;72;-1;-3
 ;"Slovenj Gradec";111;90;70;74;41;16
 ;"Slovenska Bistrica";123;153;99;78;24;75
 ;"Slovenske Konjice";66;74;68;77;-2;-3
 ;"Sodražica";10;18;9;1;1;17
 ;"Solèava";4;5;1;5;3;0
 ;"Središèe ob Dravi";12;6;11;11;1;-5
 ;"Starše";14;20;20;20;-6;0
 ;"Straža";20;17;12;12;8;5
 ;"Sveta Ana";16;12;10;10;6;2
 ;"Sveta Trojica v Slov. goricah";7;9;8;7;-1;2
 ;"Sveti Andraž v Slov. goricah";5;5;9;11;-4;-6
 ;"Sveti Jurij ob Šèavnici";15;16;14;14;1;2
 ;"Sveti Jurij v Slov. goricah";10;11;3;8;7;3
 ;"Sveti Tomaž";5;7;7;9;-2;-2
 ;"Šalovci";3;4;6;7;-3;-3
 ;"Šempeter - Vrtojba";28;26;31;19;-3;7
 ;"Šenèur";57;44;25;28;32;16
 ;"Šentilj";42;37;35;34;7;3
 ;"Šentjernej";40;41;29;21;11;20
 ;"Šentjur";110;107;98;105;12;2
 ;"Šentrupert";9;9;13;17;-4;-8
 ;"Škocjan";26;17;19;9;7;8
 ;"Škofja Loka";147;135;80;91;67;44
 ;"Škofljica";85;62;27;21;58;41
 ;"Šmarje pri Jelšah";58;69;55;62;3;7
 ;"Šmarješke Toplice";17;19;16;11;1;8
 ;"Šmartno ob Paki";13;18;12;14;1;4
 ;"Šmartno pri Litiji";40;31;26;44;14;-13
 ;"Šoštanj";55;32;48;37;7;-5
 ;"Štore";20;8;37;40;-17;-32
 ;"Tabor";15;13;12;6;3;7
 ;"Tišina";23;18;21;16;2;2
 ;"Tolmin";64;62;69;83;-5;-21
 ;"Trbovlje";73;63;87;99;-14;-36
 ;"Trebnje";76;98;58;56;18;42
 ;"Trnovska vas";14;9;9;9;5;0
 ;"Trzin";26;27;10;16;16;11
 ;"Tržiè";81;73;66;56;15;17
 ;"Turnišèe";19;15;11;13;8;2
 ;"Velenje";200;189;124;123;76;66
 ;"Velika Polana";8;8;17;16;-9;-8
 ;"Velike Lašèe";26;31;22;15;4;16
 ;"Veržej";8;3;9;4;-1;-1
 ;"Videm";33;22;26;26;7;-4
 ;"Vipava";32;32;37;39;-5;-7
 ;"Vitanje";12;13;15;11;-3;2
 ;"Vodice";36;29;19;17;17;12
 ;"Vojnik";41;46;42;54;-1;-8
 ;"Vransko";16;9;9;23;7;-14
 ;"Vrhnika";98;109;59;80;39;29
 ;"Vuzenica";17;13;6;12;11;1
 ;"Zagorje ob Savi";109;83;96;96;13;-13
 ;"Zavrè";6;12;9;9;-3;3
 ;"Zreèe";37;29;28;27;9;2
 ;"Žalec";98;88;81;63;17;25
 ;"Železniki";48;33;22;28;26;5
 ;"Žetale";7;10;9;11;-2;-1
 ;"Žiri";29;21;19;19;10;2
 ;"Žirovnica";25;15;20;12;5;3
 ;"Žužemberk";28;25;26;15;2;10
2013
 ;"Ajdovšèina";120;115;90;89;30;26
 ;"Apaèe";21;20;18;13;3;7
 ;"Beltinci";33;48;35;51;-2;-3
 ;"Benedikt";8;19;16;11;-8;8
 ;"Bistrica ob Sotli";1;8;7;8;-6;0
 ;"Bled";59;43;35;34;24;9
 ;"Bloke";17;3;13;8;4;-5
 ;"Bohinj";32;30;41;41;-9;-11
 ;"Borovnica";32;27;9;12;23;15
 ;"Bovec";7;12;11;10;-4;2
 ;"Braslovèe";21;26;24;23;-3;3
 ;"Brda";23;23;40;42;-17;-19
 ;"Brezovica";78;62;55;62;23;0
 ;"Brežice";118;110;137;143;-19;-33
 ;"Cankova";11;5;8;11;3;-6
 ;"Celje";249;257;191;188;58;69
 ;"Cerklje na Gorenjskem";55;32;20;25;35;7
 ;"Cerknica";64;59;60;61;4;-2
 ;"Cerkno";25;21;25;17;0;4
 ;"Cerkvenjak";16;6;13;16;3;-10
 ;"Cirkulane";11;13;8;14;3;-1
 ;"Èrenšovci";22;21;25;18;-3;3
 ;"Èrna na Koroškem";14;16;16;15;-2;1
 ;"Èrnomelj";78;68;76;85;2;-17
 ;"Destrnik";17;13;14;12;3;1
 ;"Divaèa";26;14;22;8;4;6
 ;"Dobje";6;9;5;6;1;3
 ;"Dobrepolje";26;14;27;25;-1;-11
 ;"Dobrna";12;14;13;8;-1;6
