 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Šmartno pri Litiji";21;20;26;32;-5;-12
 ;"Šoštanj";37;45;41;43;-4;2
 ;"Štore";20;17;7;24;13;-7
 ;"Tabor";2;4;8;4;-6;0
 ;"Tišina";20;19;25;20;-5;-1
 ;"Tolmin";39;48;65;85;-26;-37
 ;"Trbovlje";64;54;125;110;-61;-56
 ;"Trebnje";90;99;94;73;-4;26
 ;"Trnovska vas";4;4;11;8;-7;-4
 ;"Trzin";30;21;11;6;19;15
 ;"Tržiè";85;60;62;72;23;-12
 ;"Turnišèe";11;16;17;23;-6;-7
 ;"Velenje";169;140;107;106;62;34
 ;"Velika Polana";4;3;11;15;-7;-12
 ;"Velike Lašèe";18;24;17;13;1;11
 ;"Veržej";6;5;10;6;-4;-1
 ;"Videm";27;11;17;33;10;-22
 ;"Vipava";28;25;25;32;3;-7
 ;"Vitanje";8;11;14;8;-6;3
 ;"Vodice";19;34;11;17;8;17
 ;"Vojnik";49;38;37;37;12;1
 ;"Vransko";13;12;12;18;1;-6
 ;"Vrhnika";106;113;60;60;46;53
 ;"Vuzenica";9;7;17;13;-8;-6
 ;"Zagorje ob Savi";80;70;101;84;-21;-14
 ;"Zavrè";8;6;3;3;5;3
 ;"Zreèe";34;37;29;21;5;16
 ;"Žalec";111;98;82;98;29;0
 ;"Železniki";48;26;38;22;10;4
 ;"Žetale";4;5;7;10;-3;-5
 ;"Žiri";32;20;25;22;7;-2
 ;"Žirovnica";22;19;31;19;-9;0
 ;"Žužemberk";27;20;31;18;-4;2
2006
 ;"Ajdovšèina";89;92;79;87;10;5
 ;"Apaèe";-;-;-;-;-;-
 ;"Beltinci";29;24;39;48;-10;-24
 ;"Benedikt";14;15;6;17;8;-2
 ;"Bistrica ob Sotli";7;6;7;8;0;-2
 ;"Bled";62;68;55;45;7;23
 ;"Bloke";4;4;15;8;-11;-4
 ;"Bohinj";16;19;27;21;-11;-2
 ;"Borovnica";25;21;10;19;15;2
 ;"Bovec";13;10;22;31;-9;-21
