Ajdovsčina
 ;"2013";13;13;20;13;-7;0;8.9;11.3;-2.4
 ;"2014";19;12;13;12;6;0;10.7;8.6;2.1
Dravograd
 ;"2010";50;50;45;68;5;-18;11.0;12.5;-1.4
 ;"2011";61;48;60;51;1;-3;12.0;12.3;-0.2
 ;"2012";42;48;50;56;-8;-8;9.9;11.7;-1.8
 ;"2013";49;49;61;64;-12;-15;11.0;14.0;-3.0
 ;"2014";58;39;43;61;15;-22;10.9;11.7;-0.8
Duplek
 ;"2010";51;38;17;17;34;21;13.4;5.1;8.3
 ;"2011";30;35;31;22;-1;13;9.7;7.9;1.8
 ;"2012";45;31;30;24;15;7;11.3;8.0;3.3
 ;"2013";44;32;33;20;11;12;11.2;7.8;3.4
 ;"2014";21;40;28;17;-7;23;9.0;6.6;2.4
Gorenja vas - Poljane
 ;"2010";61;65;30;23;31;42;17.3;7.3;10.0
 ;"2011";48;58;30;19;18;39;14.6;6.7;7.8
 ;"2012";65;51;22;23;43;28;15.9;6.2;9.7
 ;"2013";54;56;24;27;30;29;15.0;7.0;8.1
 ;"2014";60;59;27;25;33;34;16.2;7.1;9.1
GorisniCa
 ;"2010";23;21;17;32;6;-11;10.9;12.2;-1.2
 ;"2011";24;15;26;27;-2;-12;9.7;13.1;-3.5
 ;"2012";21;12;25;34;-4;-22;8.2;14.6;-6.4
 ;"2013";20;18;29;24;-9;-6;9.4;13.1;-3.7
 ;"2014";24;24;17;27;7;-3;12.1;11.1;1.0
Gorje
 ;"2010";14;24;14;7;0;17;13.0;7.2;5.8
 ;"2011";16;15;7;15;9;0;10.6;7.6;3.1
 ;"2012";19;10;12;12;7;-2;10.1;8.4;1.7
 ;"2013";17;12;15;10;2;2;10.1;8.7;1.4
 ;"2014";12;16;9;7;3;9;9.9;5.6;4.2
Gornja Radgona
 ;"2010";46;32;40;44;6;-12;9.1;9.8;-0.7
 ;"2011";39;33;47;53;-8;-20;8.3;11.6;-3.2
 ;"2012";41;32;34;57;7;-25;8.5;10.6;-2.1
 ;"2013";42;39;46;40;-4;-1;9.5;10.1;-0.6
 ;"2014";32;30;45;43;-13;-13;7.3;10.3;-3.1
Gornji Grad
